participant_ID,gender,age,weight,length,skill_performance,skill_effort,velocity,pull_ID,initial_search,pull_direction,outcome,pull_force,angular_momentum,reaction_time,phi_zero,phi_dot_zero,delta_zero,delta_dot_zero,psi_zero,Q_zero,comments,exclude
1,female,61,8.360000e+01,1.610000e+00,8.130124e+01,3.798331e+00,12,20,FALSE,CCW,1,50,1.007009e+01,1.100000e-02,-1.092832e+00,3.620922e-02,-2.171186e-02,-3.890236e-02,8.377094e-03,-8.799249e+01,NA,NO
1,female,61,8.360000e+01,1.610000e+00,9.356484e+01,8.204226e+00,6,NA,TRUE,CCW,0,20,4.248063e+00,8.200000e-02,-2.693443e+00,7.731245e-02,-1.300139e-01,-2.961756e-01,-1.126905e-01,1.942336e+01,NA,NO
1,female,61,8.360000e+01,1.610000e+00,9.356484e+01,8.204226e+00,6,NA,TRUE,CCW,0,50,1.083935e+01,4.700000e-02,-1.450488e+00,4.887128e-02,-4.156890e-02,-3.530244e-01,1.268521e-02,-1.789441e+02,NA,NO
1,female,61,8.360000e+01,1.610000e+00,9.356484e+01,8.204226e+00,6,NA,TRUE,CW,1,80,1.562993e+01,1.750000e-02,-1.800938e-01,4.571358e-02,2.710479e-02,5.549877e-01,4.282987e-02,6.454771e+01,NA,NO
1,female,61,8.360000e+01,1.610000e+00,9.356484e+01,8.204226e+00,6,21,FALSE,CW,1,60,1.155619e+01,4.000000e-02,-3.142699e-01,1.284682e-01,-7.443893e-02,4.904272e-01,4.119673e-02,1.769523e+01,NA,NO
1,female,61,8.360000e+01,1.610000e+00,9.356484e+01,8.204226e+00,6,22,FALSE,CW,1,80,1.553921e+01,2.500000e-03,-3.494477e-01,2.776287e-02,1.586564e-03,-2.225629e-01,1.023474e-02,1.432912e+02,NA,NO
1,female,61,8.360000e+01,1.610000e+00,9.356484e+01,8.204226e+00,6,23,FALSE,CCW,0,30,6.719140e+00,7.950000e-02,-3.381699e+00,4.574505e-02,-1.068427e-01,-1.650312e-01,3.864275e-02,8.203389e+01,NA,NO
1,female,61,8.360000e+01,1.610000e+00,9.356484e+01,8.204226e+00,6,24,FALSE,CCW,0,50,1.071933e+01,2.200000e-02,-1.189898e+00,1.643781e-02,-4.377415e-02,1.732186e-01,1.479999e-02,3.784987e+01,NA,NO
1,female,61,8.360000e+01,1.610000e+00,9.356484e+01,8.204226e+00,6,25,FALSE,CW,1,90,1.700064e+01,2.800000e-02,-2.098804e-02,-3.676933e-02,6.993640e-02,-1.518681e-01,4.723923e-02,2.786505e+01,NA,NO
1,female,61,8.360000e+01,1.610000e+00,9.356484e+01,8.204226e+00,6,26,FALSE,CW,0,50,9.392875e+00,4.500000e-03,-1.204346e+00,7.879949e-02,-8.167644e-02,6.050691e-01,-1.437813e-02,1.254286e+01,NA,NO
1,female,61,8.360000e+01,1.610000e+00,9.356484e+01,8.204226e+00,6,27,FALSE,CW,0,50,1.019339e+01,4.850000e-02,-6.302044e-01,2.490158e-02,2.484788e-02,5.097498e-01,-1.595497e-02,-5.232608e+00,NA,NO
1,female,61,8.360000e+01,1.610000e+00,9.356484e+01,8.204226e+00,6,28,FALSE,CW,0,60,1.180476e+01,5.186962e-13,-2.870560e+00,3.948934e-02,-1.468544e-01,-2.144930e-02,4.971396e-02,4.331960e+01,NA,NO
1,female,61,8.360000e+01,1.610000e+00,9.356484e+01,8.204226e+00,6,29,FALSE,CW,1,110,2.002776e+01,2.450000e-02,-2.055223e+00,2.294069e-02,-7.348668e-02,4.895657e-01,-1.048799e-02,-9.575694e+01,NA,NO
1,female,61,8.360000e+01,1.610000e+00,9.356484e+01,8.204226e+00,6,30,FALSE,CW,1,100,1.948661e+01,6.600000e-02,-2.694779e-01,-1.928075e-03,5.945237e-02,-9.070779e-02,2.781958e-02,1.237766e+01,NA,NO
1,female,61,8.360000e+01,1.610000e+00,9.356484e+01,8.204226e+00,6,31,FALSE,CW,1,80,1.455198e+01,6.000000e-03,-2.157283e+00,1.339177e-01,-1.311224e-01,-2.085418e-01,-4.938795e-02,-8.191939e+01,NA,NO
